Canada, Cohort parity progression ratios
Last modified: 22/05/2025
Cohort   PPR0_1    PPR1_2    PPR2_3    PPR3_4
1929      0.934     0.862     0.743     0.657
1930      0.952     0.861     0.743     0.651
1931      0.956     0.862     0.742     0.643
1932      0.956     0.860     0.740     0.633
1933      0.951     0.859     0.734     0.622
1934      0.946     0.860     0.725     0.611
1935      0.941     0.862     0.713     0.596
1936      0.936     0.862     0.698     0.578
1937      0.937     0.861     0.682     0.556
1938      0.940     0.860     0.662     0.531
1939      0.948     0.854     0.639     0.504
1940      0.952     0.846     0.607     0.475
1941      0.952     0.833     0.570     0.443
1942      0.958     0.816     0.536     0.415
1943      0.947     0.805     0.504     0.391
1944      0.910     0.804     0.479     0.368
1945      0.896     0.795     0.459     0.349
1946      0.929     0.780     0.440     0.329
1947      0.931     0.777     0.424     0.313
1948      0.899     0.780     0.417     0.302
1949      0.877     0.782     0.411     0.294
1950      0.861     0.783     0.407     0.288
1951      0.847     0.787     0.404     0.286
1952      0.839     0.792     0.401     0.285
1953      0.838     0.786     0.400     0.285
1954      0.839     0.777     0.400     0.285
1955      0.836     0.776     0.398     0.286
1956      0.833     0.774     0.399     0.287
1957      0.832     0.777     0.398     0.288
1958      0.829     0.782     0.397     0.289
1959      0.827     0.784     0.399     0.290
1960      0.822     0.785     0.397     0.287
1961      0.814     0.783     0.392     0.287
1962      0.814     0.780     0.388     0.288
1963      0.815     0.779     0.379     0.290
1964      0.808     0.781     0.373     0.290
1965      0.803     0.779     0.373     0.293
1966      0.806     0.777     0.373     0.297
1967      0.809     0.778     0.370     0.301
1968      0.811     0.779     0.367     0.306
1969      0.813     0.777     0.366     0.306
1970      0.813     0.776     0.363     0.305
1971      0.816     0.776     0.364     0.308
1972      0.819     0.777     0.368     0.312
1973      0.819     0.777     0.370     0.315
