year,age,age_gp,edu,parity,add_exp,intention,race,marital,birth_5yr,birth_5yr_binary,race_only,hisp_only,marital_formal,weight,SECU,SEST,wants_more_kids
2015-2017,16,15-19,<HS,0,3,3,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,3631.82787190175,3,322,1
2015-2017,40,40-44,Bachelor,0,0,0,Other or Multiple,Formerly Married,0,0,Other,Non-Hispanic,Formerly Married,18827.8762059713,3,331,0
2015-2017,15,15-19,<HS,0,0,0,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,3354.44383016884,2,366,0
2015-2017,35,35-39,Bachelor,2,0,2,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,19877.4576102719,3,322,0
2015-2017,28,25-29,Some College,3,0,3,Non-Hispanic Black,Married,1,1,Black,Non-Hispanic,Married,4221.01769454461,2,366,0
2015-2017,18,15-19,<HS,0,2,2,Hispanic,Never Married,0,0,Other,Hispanic,Never Married,2741.89574082809,1,364,1
2015-2017,38,35-39,HS,2,0,2,Non-Hispanic White,Cohabitating,0,0,White,Non-Hispanic,Never Married,45306.3845300916,2,347,0
2015-2017,16,15-19,<HS,0,0,0,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,11385.1219524829,2,337,0
2015-2017,26,25-29,Some College,2,0,2,Hispanic,Never Married,0,0,White,Hispanic,Never Married,10241.3778786089,1,365,0
2015-2017,24,20-24,Some College,2,0,2,Hispanic,Never Married,2,1,White,Hispanic,Never Married,3625.56712821448,1,309,0
2015-2017,24,20-24,Some College,1,1,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,2334.65144720922,2,329,1
2015-2017,26,25-29,Some College,0,4,4,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,4575.22122085028,3,367,1
2015-2017,23,20-24,<HS,4,0,4,Non-Hispanic Black,Never Married,3,1,Black,Non-Hispanic,Never Married,2482.93266894935,4,365,0
2015-2017,22,20-24,HS,1,0,1,Other or Multiple,Never Married,1,1,Other,Non-Hispanic,Never Married,20043.836086467,2,337,0
2015-2017,32,30-34,Bachelor,0,2,2,Non-Hispanic White,Cohabitating,0,0,White,Non-Hispanic,Never Married,14287.8330725233,3,343,1
2015-2017,18,15-19,HS,0,3,3,Other or Multiple,Never Married,0,0,Other,Non-Hispanic,Never Married,12067.6025029611,2,351,1
2015-2017,30,30-34,Bachelor,2,1,3,Hispanic,Married,2,1,White,Hispanic,Married,6730.06776289918,1,367,1
2015-2017,37,35-39,Post-Grad,0,0,0,Other or Multiple,Married,0,0,Other,Non-Hispanic,Married,7679.30699567609,4,329,0
2015-2017,24,20-24,Some College,1,2,3,Non-Hispanic Black,Formerly Married,0,0,Black,Non-Hispanic,Formerly Married,1941.0857327053,4,351,1
2015-2017,16,15-19,<HS,0,2,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,2394.89936859724,3,367,1
2015-2017,42,40-44,HS,1,0,1,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,12988.8237631296,3,322,0
2015-2017,31,30-34,<HS,3,1,4,Non-Hispanic White,Never Married,2,1,White,Non-Hispanic,Never Married,15724.9026734007,2,364,1
2015-2017,44,40-44,Post-Grad,1,0,1,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,8366.37920669552,2,364,0
2015-2017,41,40-44,Post-Grad,3,0,3,Non-Hispanic Black,Married,0,0,Black,Non-Hispanic,Married,3436.92915337044,2,331,0
2015-2017,15,15-19,<HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,9471.86237339182,3,311,1
2015-2017,41,40-44,<HS,4,0,4,Hispanic,Formerly Married,0,0,White,Hispanic,Formerly Married,4717.61215368361,3,309,0
2015-2017,25,25-29,Some College,2,0,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,6456.38421257439,1,316,0
2015-2017,15,15-19,<HS,0,2,2,Hispanic,Never Married,0,0,White,Hispanic,Never Married,15682.8068712085,1,365,1
2015-2017,25,25-29,Some College,0,4,4,Hispanic,Never Married,0,0,White,Hispanic,Never Married,22394.1681416017,1,330,1
2015-2017,18,15-19,HS,0,1,1,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,1924.916,4,367,1
2015-2017,40,40-44,Post-Grad,0,0,0,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,6525.48896429789,2,364,0
2015-2017,30,30-34,Some College,2,1,3,Other or Multiple,Never Married,0,0,White,Non-Hispanic,Never Married,4250.69294187271,4,312,1
2015-2017,29,25-29,Some College,2,0,2,Non-Hispanic Black,Formerly Married,2,1,Black,Non-Hispanic,Formerly Married,22595.875553855,2,367,0
2015-2017,27,25-29,HS,0,2,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,3904.38146152731,3,343,1
2015-2017,24,20-24,Some College,0,1,1,Hispanic,Never Married,0,0,White,Hispanic,Never Married,4484.99954122508,4,331,1
2015-2017,16,15-19,<HS,0,0,0,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,12578.9851931684,2,316,0
2015-2017,33,30-34,Some College,1,2,3,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,6948.06760242901,2,351,1
2015-2017,33,30-34,HS,1,1,2,Non-Hispanic White,Cohabitating,1,1,White,Non-Hispanic,Never Married,5144.41630895563,1,347,1
2015-2017,22,20-24,HS,1,1,2,Non-Hispanic Black,Formerly Married,1,1,Black,Non-Hispanic,Formerly Married,5739.92047143335,1,347,1
2015-2017,37,35-39,Some College,3,0,3,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,21163.0880340436,4,366,0
2015-2017,24,20-24,HS,3,0,3,Non-Hispanic Black,Never Married,2,1,Black,Non-Hispanic,Never Married,1924.916,4,367,0
